,Compentency1,Compentency2,Similarity
0,Partnership & Business Development,abilities,0.7908421158790588
1,Partnership & Business Development,cognitive abilities,0.7883397936820984
2,Partnership & Business Development,verbal abilities,0.7704314589500427
3,Partnership & Business Development,oral comprehension,0.7718181610107422
4,Partnership & Business Development,written comprehension,0.7501017451286316
5,Partnership & Business Development,oral expression,0.7724682688713074
6,Partnership & Business Development,written expression,0.7694027423858643
7,Partnership & Business Development,idea generation and reasoning abilities,0.7571982145309448
8,Partnership & Business Development,fluency of ideas,0.7765749096870422
9,Partnership & Business Development,originality,0.7602285742759705
10,Partnership & Business Development,problem sensitivity,0.7866077423095703
11,Partnership & Business Development,deductive reasoning,0.8106405138969421
12,Partnership & Business Development,inductive reasoning,0.7615074515342712
13,Partnership & Business Development,information ordering,0.7659505605697632
14,Partnership & Business Development,category flexibility,0.7530037760734558
15,Partnership & Business Development,quantitative abilities,0.7649244070053101
16,Partnership & Business Development,mathematical reasoning,0.7878075242042542
17,Partnership & Business Development,number facility,0.7510329484939575
18,Partnership & Business Development,memory,0.7841042876243591
19,Partnership & Business Development,memorization,0.7502042651176453
20,Partnership & Business Development,perceptual abilities,0.7584131360054016
21,Partnership & Business Development,speed of closure,0.757169783115387
22,Partnership & Business Development,flexibility of closure,0.7537408471107483
23,Partnership & Business Development,perceptual speed,0.7751906514167786
24,Partnership & Business Development,spatial abilities,0.7666958570480347
25,Partnership & Business Development,spatial orientation,0.7939028739929199
26,Partnership & Business Development,visualization,0.7713945508003235
27,Partnership & Business Development,attentiveness,0.7557793259620667
28,Partnership & Business Development,selective attention,0.7592200636863708
29,Partnership & Business Development,time sharing,0.7780570983886719
30,Partnership & Business Development,psychomotor abilities,0.7620601058006287
31,Partnership & Business Development,fine manipulative abilities,0.7882345914840698
32,Partnership & Business Development,arm-hand steadiness,0.7526722550392151
33,Partnership & Business Development,manual dexterity,0.7645870447158813
34,Partnership & Business Development,finger dexterity,0.7731349468231201
35,Partnership & Business Development,control movement abilities,0.791756808757782
36,Partnership & Business Development,control precision,0.7702711224555969
37,Partnership & Business Development,multilimb coordination,0.7620687484741211
38,Partnership & Business Development,response orientation,0.7796860933303833
39,Partnership & Business Development,rate control,0.7644885182380676
40,Partnership & Business Development,reaction time and speed abilities,0.8058027625083923
41,Partnership & Business Development,reaction time,0.753402590751648
42,Partnership & Business Development,wrist-finger speed,0.7522329688072205
43,Partnership & Business Development,speed of limb movement,0.781869649887085
44,Partnership & Business Development,physical abilities,0.7719436287879944
45,Partnership & Business Development,physical strength abilities,0.7885729074478149
46,Partnership & Business Development,static strength,0.7827643752098083
47,Partnership & Business Development,explosive strength,0.7558225393295288
48,Partnership & Business Development,dynamic strength,0.7803005576133728
49,Partnership & Business Development,trunk strength,0.7575934529304504
50,Partnership & Business Development,endurance,0.7746968269348145
51,Partnership & Business Development,stamina,0.7566787004470825
52,Partnership & Business Development,"flexibility, balance, and coordination",0.7782391905784607
53,Partnership & Business Development,extent flexibility,0.7561341524124146
54,Partnership & Business Development,dynamic flexibility,0.7548878788948059
55,Partnership & Business Development,gross body coordination,0.7515047788619995
56,Partnership & Business Development,gross body equilibrium,0.7778399586677551
57,Partnership & Business Development,sensory abilities,0.7770352363586426
58,Partnership & Business Development,visual abilities,0.7769699692726135
59,Partnership & Business Development,near vision,0.7710723876953125
60,Partnership & Business Development,far vision,0.8057913184165955
61,Partnership & Business Development,visual color discrimination,0.7709056735038757
62,Partnership & Business Development,night vision,0.7706588506698608
63,Partnership & Business Development,peripheral vision,0.7733500003814697
64,Partnership & Business Development,depth perception,0.7783184051513672
65,Partnership & Business Development,glare sensitivity,0.7836386561393738
66,Partnership & Business Development,auditory and speech abilities,0.7899736762046814
67,Partnership & Business Development,hearing sensitivity,0.7944350242614746
68,Partnership & Business Development,auditory attention,0.8079063296318054
69,Partnership & Business Development,sound localization,0.7501193284988403
70,Partnership & Business Development,speech recognition,0.7564350962638855
71,Partnership & Business Development,speech clarity,0.7996996641159058
72,Partnership & Business Development,interests,0.7545759081840515
73,Partnership & Business Development,occupational interests,0.8094791173934937
74,Partnership & Business Development,realistic,0.7838413715362549
75,Partnership & Business Development,investigative,0.7629656195640564
76,Partnership & Business Development,artistic,0.7681515216827393
77,Partnership & Business Development,social,0.8082817792892456
78,Partnership & Business Development,enterprising,0.7748849391937256
79,Partnership & Business Development,conventional,0.7716176509857178
80,Partnership & Business Development,first interest high-point,0.7654050588607788
81,Partnership & Business Development,second interest high-point,0.7523082494735718
82,Partnership & Business Development,third interest high-point,0.7585011124610901
83,Partnership & Business Development,work values,0.776583731174469
84,Partnership & Business Development,achievement,0.8144750595092773
85,Partnership & Business Development,ability utilization,0.7632936239242554
86,Partnership & Business Development,achievement,0.7902237772941589
87,Partnership & Business Development,working conditions,0.7580318450927734
88,Partnership & Business Development,activity,0.8026779890060425
89,Partnership & Business Development,independence,0.7628987431526184
90,Partnership & Business Development,variety,0.7689675092697144
91,Partnership & Business Development,compensation,0.764177680015564
92,Partnership & Business Development,security,0.7616540789604187
93,Partnership & Business Development,working conditions,0.7697754502296448
94,Partnership & Business Development,recognition,0.7854527235031128
95,Partnership & Business Development,advancement,0.803795337677002
96,Partnership & Business Development,recognition,0.7614922523498535
97,Partnership & Business Development,authority,0.7522862553596497
98,Partnership & Business Development,social status,0.7934690713882446
99,Partnership & Business Development,relationships,0.7748585343360901
100,Partnership & Business Development,co-workers,0.7608116865158081
101,Partnership & Business Development,social service,0.7765815258026123
102,Partnership & Business Development,moral values,0.7687603235244751
103,Partnership & Business Development,support,0.7532543540000916
104,Partnership & Business Development,company policies and practices,0.7994011044502258
105,Partnership & Business Development,"supervision, human relations",0.756164014339447
106,Partnership & Business Development,"supervision, technical",0.7616782784461975
107,Partnership & Business Development,independence,0.7765210866928101
108,Partnership & Business Development,creativity,0.7953535318374634
109,Partnership & Business Development,responsibility,0.7562910318374634
110,Partnership & Business Development,autonomy,0.8090837597846985
111,Partnership & Business Development,first work value high-point,0.7633158564567566
112,Partnership & Business Development,second work value high-point,0.7553136944770813
113,Partnership & Business Development,third work value high-point,0.7552794218063354
114,Partnership & Business Development,work styles,0.7606608271598816
115,Partnership & Business Development,achievement orientation,0.8222926259040833
116,Partnership & Business Development,achievement/effort,0.8241966366767883
117,Partnership & Business Development,persistence,0.7645587921142578
118,Partnership & Business Development,initiative,0.7759634256362915
119,Partnership & Business Development,social influence,0.779860258102417
120,Partnership & Business Development,leadership,0.8266677856445312
121,Partnership & Business Development,interpersonal orientation,0.7795893549919128
122,Partnership & Business Development,cooperation,0.7807728052139282
123,Partnership & Business Development,concern for others,0.7641084790229797
124,Partnership & Business Development,social orientation,0.7543908953666687
125,Partnership & Business Development,adjustment,0.7599380016326904
126,Partnership & Business Development,self control,0.7520598769187927
127,Partnership & Business Development,stress tolerance,0.7823126316070557
128,Partnership & Business Development,adaptability/flexibility,0.7517845034599304
129,Partnership & Business Development,conscientiousness,0.7809350490570068
130,Partnership & Business Development,dependability,0.7954224348068237
131,Partnership & Business Development,attention to detail,0.778609573841095
132,Partnership & Business Development,integrity,0.7599650621414185
133,Partnership & Business Development,independence,0.8417258858680725
134,Partnership & Business Development,practical intelligence,0.7585100531578064
135,Partnership & Business Development,innovation,0.7535651922225952
136,Partnership & Business Development,analytical thinking,0.7505609393119812
137,Partnership & Business Development,worker requirements,0.758039653301239
138,Partnership & Business Development,basic skills,0.7924925684928894
139,Partnership & Business Development,content,0.7899008989334106
140,Partnership & Business Development,reading comprehension,0.7747355699539185
141,Partnership & Business Development,active listening,0.7624558210372925
142,Partnership & Business Development,writing,0.7829572558403015
143,Partnership & Business Development,speaking,0.7520228624343872
144,Partnership & Business Development,mathematics,0.8302698135375977
145,Partnership & Business Development,science,0.771904468536377
146,Partnership & Business Development,process,0.7515748143196106
147,Partnership & Business Development,critical thinking,0.7651334404945374
148,Partnership & Business Development,active learning,0.7777696251869202
149,Partnership & Business Development,learning strategies,0.8069496154785156
150,Partnership & Business Development,monitoring,0.7929141521453857
151,Partnership & Business Development,cross-functional skills,0.7856820821762085
152,Partnership & Business Development,social skills,0.7647660970687866
153,Partnership & Business Development,social perceptiveness,0.762110710144043
154,Partnership & Business Development,coordination,0.7614948749542236
155,Partnership & Business Development,persuasion,0.7514356970787048
156,Partnership & Business Development,negotiation,0.8041138648986816
157,Partnership & Business Development,instructing,0.7651566863059998
158,Partnership & Business Development,service orientation,0.7550819516181946
159,Partnership & Business Development,complex problem solving skills,0.8160264492034912
160,Partnership & Business Development,complex problem solving,0.7745588421821594
161,Partnership & Business Development,technical skills,0.7597197890281677
162,Partnership & Business Development,operations analysis,0.8080834150314331
163,Partnership & Business Development,technology design,0.8136106729507446
164,Partnership & Business Development,equipment selection,0.7735929489135742
165,Partnership & Business Development,installation,0.827501118183136
166,Partnership & Business Development,programming,0.7509859204292297
167,Partnership & Business Development,operation monitoring,0.762639582157135
168,Partnership & Business Development,operation and control,0.7580239772796631
169,Partnership & Business Development,equipment maintenance,0.7725539803504944
170,Partnership & Business Development,troubleshooting,0.7540571689605713
171,Partnership & Business Development,repairing,0.810490071773529
172,Partnership & Business Development,quality control analysis,0.7551566362380981
173,Partnership & Business Development,systems skills,0.7684917449951172
174,Partnership & Business Development,judgment and decision making,0.7614468932151794
175,Partnership & Business Development,systems analysis,0.7781381011009216
176,Partnership & Business Development,systems evaluation,0.7760476469993591
177,Partnership & Business Development,resource management skills,0.7544841766357422
178,Partnership & Business Development,time management,0.7522745132446289
